,edition,name,athlete_id,medal,year,season,sex,country,country_appearances
3,1900 Summer Olympics,Margaret Abbott,18138,Gold,1900,Summer,Female, United States,15
4,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
5,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
8,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
9,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
10,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
13,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
21,1900 Summer Olympics,Abbie Pratt,18191,Bronze,1900,Summer,Female, France,31
42,1900 Summer Olympics,Yvonne Prévost,2458,Silver,1900,Summer,Female, France,31
44,1900 Summer Olympics,Yvonne Prévost,2458,Silver,1900,Summer,Female, France,31
47,1900 Summer Olympics,Yvonne Prévost,2458,Silver,1900,Summer,Female, France,31
49,1900 Summer Olympics,"Hélène, Countess de Pourtalès",61789,Silver,1900,Summer,Female, Switzerland,4
51,1900 Summer Olympics,"Hélène, Countess de Pourtalès",61789,Gold,1900,Summer,Female, Switzerland,4
52,1900 Summer Olympics,Polly Whittier,18210,Silver,1900,Summer,Female, Switzerland,4
53,1900 Summer Olympics,Charlotte Cooper,45,Gold,1900,Summer,Female, Great Britain,5
57,1900 Summer Olympics,Charlotte Cooper,45,Gold,1900,Summer,Female, Great Britain,5
58,1900 Summer Olympics,Hedwig Rosenbaum,694,Bronze,1900,Summer,Female, Bohemia,3
59,1900 Summer Olympics,Hedwig Rosenbaum,694,Bronze,1900,Summer,Female, Bohemia,3
60,1900 Summer Olympics,Hedwig Rosenbaum,694,Bronze,1900,Summer,Female, Bohemia,3
62,1904 Summer Olympics,Lida Howell,2209,Gold,1904,Summer,Female, United States,23
65,1904 Summer Olympics,Emma Cooke,2206,Silver,1904,Summer,Female, United States,23
67,1904 Summer Olympics,Sam Jones,18272,Gold,1904,Summer,Female, United States,23
68,1904 Summer Olympics,Lida Howell,2209,Gold,1904,Summer,Female, United States,23
70,1904 Summer Olympics,Leonie Taylor,2219,Gold,1904,Summer,Female, United States,23
71,1904 Summer Olympics,Eliza Pollock,2215,Bronze,1904,Summer,Female, United States,23
72,1904 Summer Olympics,Eliza Pollock,2215,Bronze,1904,Summer,Female, United States,23
76,1904 Summer Olympics,Emma Cooke,2206,Silver,1904,Summer,Female, United States,23
77,1904 Summer Olympics,Eliza Pollock,2215,Gold,1904,Summer,Female, United States,23
80,1904 Summer Olympics,Lida Howell,2209,Gold,1904,Summer,Female, United States,23
83,1904 Summer Olympics,Emily Woodruff,2222,Gold,1904,Summer,Female, United States,23
85,1908 Summer Olympics,Dorothy Lambert Chambers,57,Gold,1908,Summer,Female, Great Britain,46
87,1908 Summer Olympics,Ruth Winch,71,Bronze,1908,Summer,Female, Great Britain,46
89,1908 Summer Olympics,Dora Boothby,40,Silver,1908,Summer,Female, Great Britain,46
91,1908 Summer Olympics,Frances Rivett-Carnac,61038,Gold,1908,Summer,Female, Great Britain,46
93,1908 Summer Olympics,Phyllis Johnson,81419,Silver,1908,Summer,Female, Great Britain,46
109,1908 Summer Olympics,Lottie Dod,536,Silver,1908,Summer,Female, Great Britain,46
110,1908 Summer Olympics,Sybil Newall,549,Gold,1908,Summer,Female, Great Britain,46
